DroneID,Day,Time (in Seconds),X,Y,Z,Activity,Payload Weight (W) in Kgs,Speed (m/s),mAH Consumed,Energy Cost (c X mAH)
D1A,Day 1,1,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,2,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,3,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,4,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,5,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,6,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,7,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,8,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,9,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,10,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,11,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,12,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,13,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,14,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,15,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,16,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,17,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,18,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,19,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,20,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,21,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,22,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,23,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,24,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,25,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,26,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,27,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,28,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,29,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,30,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,31,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,32,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,33,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,34,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,35,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,36,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,37,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,38,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,39,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,40,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,41,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,42,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,43,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,44,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,45,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,46,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,47,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,48,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,49,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,50,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,51,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
D1A,Day 1,52,0.000000,0.000000,0.000000,R-WH1,0,0.000000,-,-
