,Drone ID,FLIGHT TIME (in sec)(Day 1),FLIGHT TIME (in sec) (Day 2),FLIGHT TIME (in sec) (Day 3),RESTING/ WAITING TIME  (in sec) (Day 1),RESTING/ WAITING TIME  (in sec) (Day 2),RESTING/ WAITING TIME  (in sec) (Day 3),CHARGING TIME  (in sec) (Day 1),CHARGING TIME  (in sec) (Day 2),CHARGING TIME  (in sec) (Day 3),MAINTENANCE VARIABLE COST ($) (Day 1),MAINTENANCE VARIABLE COST ($) (Day 2),MAINTENANCE VARIABLE COST ($) (Day 3),ENERGY COST ($) (Day 1),ENERGY COST ($) (Day 2),ENERGY COST ($) (Day 3)
0,D1A,14066,14307,0,9235,9086,0,208,216,0,19.53611111111111,19.870833333333334,0.0,1948.5959999999268,2114.4503999998683,0
1,D1B,14484,14762,0,12134,11573,0,84,126,0,20.116666666666667,20.502777777777776,0.0,954.3936000000197,1288.9943999999964,0
2,D1C,1331,1300,0,836,867,0,0,0,0,1.8486111111111112,1.8055555555555556,0.0,208.53120000000234,182.67840000000152,0
3,D3A,14377,13889,0,5045,5250,0,1776,1734,0,51.91694444444445,50.15472222222222,0.0,13275.873428999144,12208.154688999237,0
4,D3B,10435,13656,0,8109,10164,0,517,673,0,37.68194444444445,49.31333333333333,0.0,3310.0300570000777,5017.989948999966,0
5,D3C,4642,4781,0,3561,2994,0,116,228,0,16.762777777777778,17.264722222222222,0.0,1513.367999999996,2783.113501000076,0
6,D4A,14047,14323,0,8913,8817,0,1216,1219,0,58.52916666666667,59.67916666666667,0.0,10691.14200000016,12253.356000000667,0
7,D4B,3176,4850,0,2591,3916,0,0,0,0,13.233333333333333,20.208333333333332,0.0,1595.5859999999943,2545.7100000000314,0
8,D5A,12997,13904,0,6204,4001,0,2405,3209,0,72.20555555555555,77.24444444444444,0.0,16712.892000000797,25511.832000004324,0
9,D5B,4655,13383,0,4112,10907,0,0,369,0,25.86111111111111,74.35,0.0,2057.4960000000224,8022.755999999837,0
